Death Rate Report by State

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"United States",00000,Yes,161 ,160.8, 161.1,590623,falling,-1.5 ,-1.6, -1.5
"Union County, Florida",12125,No,443.1 ,397.2, 493,77,stable,0.7 ,-0.3, 1.7
"Owsley County, Kentucky",21189,No,287.3 ,228.9, 357.4,18,stable,0.3 ,-0.9, 1.5
"Harlan County, Kentucky",21095,No,286.9 ,261.8, 313.9,101,stable,0.6 ,-0.1, 1.3
"Robertson County, Kentucky",21201,No,282.1 ,204.5, 383.6,10,stable,0.2 ,-1.6, 2.1
"Cottle County, Texas",48101,No,279 ,185.2, 411.3,6,stable,-0.4 ,-2.3, 1.5
"Yukon-Koyukuk Census Area, Alaska",02290,No,277.3 ,214.8, 351.9,15,stable,0.7 ,-1.1, 2.6
"Nicholas County, Kentucky",21181,No,277 ,230.4, 331,26,stable,0.0 ,-0.8, 0.9
"Wolfe County, Kentucky",21237,No,276.4 ,230.4, 329.5,27,stable,-0.2 ,-1.7, 1.3
"Catahoula Parish, Louisiana",22025,No,275.6 ,234.5, 322.2,33,stable,0.7 ,-0.2, 1.6
"Lake and Peninsula Borough, Alaska (3)",02164,No,271.4 ,150.5, 444.8,3,*,*,*,*
"Galax City, Virginia",51640,No,270.9 ,226.6, 322.4,28,rising,33.0 ,10.9, 59.5
"Leslie County, Kentucky",21131,No,268.5 ,230.3, 311.6,37,stable,0.6 ,-0.3, 1.4
"Martinsville City, Virginia",51690,No,267.8 ,235.4, 303.9,52,rising,6.8 ,0.2, 13.8
"Cimarron County, Oklahoma",40025,No,267.5 ,188.5, 371.4,9,stable,0.6 ,-1.4, 2.6
"Gallatin County, Kentucky",21077,No,267.4 ,219.4, 322.8,24,stable,-0.5 ,-1.5, 0.6
"North Slope Borough, Alaska",02185,No,265.8 ,197, 348.2,14,stable,-0.3 ,-2.3, 1.8
"Breathitt County, Kentucky",21025,No,265.8 ,230.5, 305.2,44,stable,0.0 ,-1.0, 0.9
"Perry County, Kentucky",21193,No,262 ,237.3, 288.6,87,stable,0.1 ,-0.6, 0.8
"East Carroll Parish, Louisiana",22035,No,261.8 ,214.1, 317.2,21,stable,-0.1 ,-1.2, 1.0
"Bristol City, Virginia",51520,No,261.3 ,233.3, 292.1,66,stable,0.4 ,-0.3, 1.0
"Madison County, Mississippi",28089,No,260.1 ,245.5, 275.3,254,falling,-5.0 ,-5.9, -4.1
"Kiowa County, Colorado",08061,No,259.3 ,170.3, 387.3,6,*,*,*,*
"Whitley County, Kentucky",21235,No,258.8 ,237.1, 282,109,stable,-0.1 ,-0.8, 0.7
"Sunflower County, Mississippi",28133,No,257.3 ,230.5, 286.4,70,stable,0.0 ,-0.4, 0.5
"Powell County, Kentucky",21197,No,255.5 ,218.1, 297.5,35,stable,-0.5 ,-1.4, 0.4
"Nome Census Area, Alaska",02180,No,255.1 ,196.2, 324.6,16,stable,0.7 ,-1.0, 2.5
