Incidence Rate Report by State

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,448 ,447.7, 448.4,1638110,falling,-0.9 ,-1.6, -0.1
"Union County, Florida(6,10)",12125,***,1135 ,1063.6, 1210.1,208,falling,-4.6 ,-5.1, -4.1
"Logan County, Nebraska(6,10)",31113,***,677.2 ,455, 974.3,7,stable,1.2 ,-41.0, 73.4
"Powell County, Kentucky(7,8)",21197,***,646.2 ,586.6, 710.3,92,stable,1.1 ,-0.4, 2.6
"Taylor County, Kentucky(7,8)",21217,***,623.3 ,583.7, 665,196,rising,1.4 ,0.7, 2.2
"Robertson County, Kentucky(7,8)",21201,***,611.6 ,486.8, 761.3,19,stable,2.2 ,-1.0, 5.6
"Nicholas County, Kentucky(7,8)",21181,***,603 ,532, 681.5,55,stable,1.4 ,-0.5, 3.3
"Blaine County, Nebraska(6,10)",31009,***,598 ,350.7, 970.8,4,stable,7.8 ,-16.9, 39.9
"Kingsbury County, South Dakota(6,10)",46077,***,597.8 ,516, 690.1,45,stable,0.6 ,-17.5, 22.6
"Estill County, Kentucky(7,8)",21065,***,597.4 ,547, 651.6,110,stable,-7.8 ,-19.5, 5.6
"Carroll County, Kentucky(7,8)",21041,***,596.8 ,535.9, 662.9,74,stable,0.0 ,-1.2, 1.1
"Golden Valley County, Montana(6,10)",30037,***,596.4 ,413.3, 848.3,8,stable,-7.1 ,-32.6, 28.1
"Thomas County, Nebraska(6,10)",31171,***,594.4 ,378.6, 896.6,6,stable,-14.3 ,-28.2, 2.3
"Sherman County, Nebraska(6,10)",31163,***,593.5 ,482.4, 724.2,26,stable,10.5 ,-8.7, 33.6
"Palo Alto County, Iowa(7,8)",19147,***,593.2 ,530.2, 661.9,75,stable,11.4 ,-1.1, 25.5
"Woodruff County, Arkansas(6,10)",05147,***,592.7 ,522, 671,57,stable,5.3 ,-12.2, 26.4
"Catahoula Parish, Louisiana(7,8)",22025,***,592.1 ,531.9, 657.6,74,stable,-6.6 ,-14.4, 2.0
"Perry County, Kentucky(7,8)",21193,***,590.7 ,553.4, 629.8,199,stable,0.6 ,-0.3, 1.5
"Floyd County, Kentucky(7,8)",21071,***,589.8 ,558.2, 622.8,279,stable,-0.3 ,-0.8, 0.2
"Trimble County, Kentucky(7,8)",21223,***,589.5 ,523.9, 661.4,62,stable,1.9 ,-0.2, 4.0
"Lawrence County, Kentucky(7,8)",21127,***,589.5 ,540.5, 641.8,115,stable,0.7 ,-0.2, 1.6
"Pickens County, Georgia(7,8)",13227,***,580.8 ,547.2, 616.1,249,rising,1.2 ,0.2, 2.1
"Carter County, Kentucky(7,8)",21043,***,580.6 ,543.8, 619.2,197,stable,0.9 ,0.0, 1.9
"Polk County, Texas(6,10)",48373,***,576.4 ,549.4, 604.6,374,stable,0.4 ,-3.6, 4.6
"Prairie County, Montana(6,10)",30079,***,575 ,424.6, 773.5,12,stable,11.7 ,-31.2, 81.1
"Owsley County, Kentucky(7,8)",21189,***,574.6 ,489.2, 671.7,35,stable,1.0 ,-1.4, 3.5
"Hanson County, South Dakota(6,10)",46061,***,572.8 ,459.2, 705.8,20,stable,7.5 ,-8.6, 26.4
"Mercer County, Kentucky(7,8)",21167,***,572.7 ,532.4, 615.4,160,stable,0.5 ,-0.6, 1.6
"Bracken County, Kentucky(7,8)",21023,***,571.9 ,507.1, 643.2,59,stable,0.9 ,-1.3, 3.3
"Wolfe County, Kentucky(7,8)",21237,***,571.7 ,504.2, 646.4,56,stable,-0.7 ,-2.2, 0.8
"Swain County, North Carolina(6,10)",37173,***,571.5 ,522.8, 623.8,108,stable,2.5 ,-5.2, 10.7
"Miner County, South Dakota(6,10)",46097,***,569.8 ,452.8, 710.8,20,stable,-1.8 ,-30.3, 38.2
"Clay County, West Virginia(6,10)",54015,***,569.1 ,508.3, 635.8,68,stable,-2.5 ,-13.7, 10.2
"Clark County, Kentucky(7,8)",21049,***,566.7 ,535.1, 599.8,251,stable,-4.6 ,-12.6, 4.1
"Mingo County, West Virginia(6,10)",54059,***,565.7 ,527.9, 605.6,181,stable,1.6 ,-16.1, 22.9
"Yalobusha County, Mississippi(6,10)",28161,***,565.6 ,514.2, 621.2,96,stable,-6.7 ,-16.0, 3.6
"Logan County, Illinois(6,10)",17107,***,565.5 ,531.5, 601.1,216,stable,-0.1 ,-4.2, 4.3
"Oliver County, North Dakota(6,10)",38065,***,564.3 ,431.2, 728.6,15,stable,7.4 ,-11.8, 30.9
"Washington County, Kentucky(7,8)",21229,***,563.5 ,509.9, 621.5,85,rising,1.5 ,0.1, 3.0
"Monroe County, Kentucky(7,8)",21171,***,563.1 ,507.7, 623.3,81,rising,2.0 ,0.4, 3.6
"Logan County, West Virginia(6,10)",54045,***,563 ,531.9, 595.6,266,stable,-1.0 ,-8.9, 7.6
"Vilas County, Wisconsin(6,10)",55125,***,562.8 ,527, 600.9,230,stable,-1.7 ,-12.5, 10.5
"Towns County, Georgia(7,8)",13281,***,562.7 ,509.9, 620.5,116,stable,0.1 ,-1.1, 1.3
"Cape May County, New Jersey(7,8)",34009,***,561.5 ,543.8, 579.8,878,stable,-0.3 ,-0.8, 0.1
"Hamilton County, New York(7,8)",36041,***,561.1 ,484.6, 649.2,49,stable,-0.8 ,-2.4, 0.9
"Decatur County, Iowa(7,8)",19053,***,560.6 ,493.8, 634.5,57,stable,0.5 ,-0.2, 1.2
"Marion County, Kentucky(7,8)",21155,***,560 ,516.3, 606.5,127,stable,-0.2 ,-1.2, 0.8
"Clay County, Kentucky(7,8)",21051,***,560 ,517.4, 605.2,135,rising,1.0 ,0.2, 1.8
"Breathitt County, Kentucky(7,8)",21025,***,559.6 ,507.9, 615.4,92,stable,1.4 ,-0.1, 3.0
"Knox County, Kentucky(7,8)",21121,***,559.5 ,525.7, 595,214,stable,0.5 ,-0.4, 1.3
"Lewis County, Kentucky(7,8)",21135,***,557 ,507.8, 610.1,99,stable,1.0 ,-0.1, 2.1
"Salem County, New Jersey(7,8)",34033,***,556.5 ,533.2, 580.5,460,stable,-0.1 ,-0.5, 0.2
"Bath County, Kentucky(7,8)",21011,***,556.4 ,502.8, 614.4,83,stable,-1.5 ,-3.4, 0.5
