AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|190.3|204.6|197.4|2959|All ICCC Groups Combined|14991152|1999
10-14|119.2|129.1|124.0|2449|All ICCC Groups Combined|19742631|1999
15-19|191.5|204.0|197.6|3871|All ICCC Groups Combined|19585857|1999
5-9|106.0|115.2|110.5|2227|All ICCC Groups Combined|20146188|1999
<1|218.7|250.1|234.0|868|All ICCC Groups Combined|3708753|1999
1-4|75.1|84.2|79.6|1193|I Leukemias, myeloproliferative & myelodysplastic diseases|14991152|1999
10-14|26.2|30.9|28.5|562|I Leukemias, myeloproliferative & myelodysplastic diseases|19742631|1999
15-19|24.4|29.0|26.7|522|I Leukemias, myeloproliferative & myelodysplastic diseases|19585857|1999
5-9|33.8|39.1|36.4|733|I Leukemias, myeloproliferative & myelodysplastic diseases|20146188|1999
<1|37.5|51.2|44.0|163|I Leukemias, myeloproliferative & myelodysplastic diseases|3708753|1999
1-4|62.6|71.0|66.7|1000|I(a) Lymphoid leukemias|14991152|1999
10-14|18.0|22.0|20.0|394|I(a) Lymphoid leukemias|19742631|1999
15-19|12.3|15.7|13.9|273|I(a) Lymphoid leukemias|19585857|1999
5-9|27.8|32.6|30.1|607|I(a) Lymphoid leukemias|20146188|1999
<1|16.9|26.5|21.3|79|I(a) Lymphoid leukemias|3708753|1999
1-4|9.1|12.5|10.7|160|I(b) Acute myeloid leukemias|14991152|1999
10-14|5.3|7.6|6.4|126|I(b) Acute myeloid leukemias|19742631|1999
15-19|8.0|10.8|9.3|183|I(b) Acute myeloid leukemias|19585857|1999
5-9|3.9|5.9|4.8|97|I(b) Acute myeloid leukemias|20146188|1999
<1|12.1|20.5|15.9|59|I(b) Acute myeloid leukemias|3708753|1999
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|14991152|1999
10-14|0.5|1.4|0.9|17|I(c) Chronic myeloproliferative diseases|19742631|1999
15-19|1.5|2.9|2.1|42|I(c) Chronic myeloproliferative diseases|19585857|1999
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|20146188|1999
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3708753|1999
1-4|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|14991152|1999
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19742631|1999
15-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19585857|1999
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20146188|1999
<1|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3708753|1999
1-4|1.1|2.5|1.7|26|I(e) Unspecified and other specified leukemias|14991152|1999
10-14|0.7|1.7|1.2|23|I(e) Unspecified and other specified leukemias|19742631|1999
15-19|0.7|1.8|1.2|23|I(e) Unspecified and other specified leukemias|19585857|1999
5-9|0.5|1.3|0.8|16|I(e) Unspecified and other specified leukemias|20146188|1999
<1|2.7|7.3|4.6|17|I(e) Unspecified and other specified leukemias|3708753|1999
1-4|7.6|10.7|9.1|136|II Lymphomas and reticuloendothelial neoplasms|14991152|1999
10-14|21.5|25.8|23.6|466|II Lymphomas and reticuloendothelial neoplasms|19742631|1999
15-19|43.8|49.9|46.8|916|II Lymphomas and reticuloendothelial neoplasms|19585857|1999
5-9|11.7|14.9|13.2|266|II Lymphomas and reticuloendothelial neoplasms|20146188|1999
<1|5.2|11.2|7.8|29|II Lymphomas and reticuloendothelial neoplasms|3708753|1999
1-4|~|~|~|~|II(a) Hodgkin lymphomas|14991152|1999
10-14|10.1|13.1|11.5|228|II(a) Hodgkin lymphomas|19742631|1999
15-19|28.5|33.5|30.9|605|II(a) Hodgkin lymphomas|19585857|1999
5-9|3.1|4.9|3.9|79|II(a) Hodgkin lymphomas|20146188|1999
<1|~|~|~|~|II(a) Hodgkin lymphomas|3708753|1999
1-4|3.9|6.2|4.9|74|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|14991152|1999
10-14|6.9|9.5|8.1|160|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19742631|1999
15-19|11.1|14.3|12.7|248|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19585857|1999
5-9|4.4|6.5|5.4|108|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20146188|1999
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3708753|1999
1-4|1.1|2.5|1.7|25|II(c) Burkitt lymphoma|14991152|1999
10-14|2.2|3.8|2.9|58|II(c) Burkitt lymphoma|19742631|1999
15-19|1.5|2.8|2.0|40|II(c) Burkitt lymphoma|19585857|1999
5-9|2.4|4.1|3.2|64|II(c) Burkitt lymphoma|20146188|1999
<1|~|~|~|~|II(c) Burkitt lymphoma|3708753|1999
1-4|0.8|2.0|1.3|19|II(d) Miscellaneous lymphoreticular neoplasms|14991152|1999
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19742631|1999
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19585857|1999
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20146188|1999
<1|3.1|8.0|5.1|19|II(d) Miscellaneous lymphoreticular neoplasms|3708753|1999
1-4|~|~|~|~|II(e) Unspecified lymphomas|14991152|1999
10-14|~|~|~|~|II(e) Unspecified lymphomas|19742631|1999
15-19|0.7|1.6|1.1|21|II(e) Unspecified lymphomas|19585857|1999
5-9|~|~|~|~|II(e) Unspecified lymphomas|20146188|1999
<1|~|~|~|~|II(e) Unspecified lymphomas|3708753|1999
1-4|35.2|41.6|38.3|574|III CNS and misc intracranial and intraspinal neoplasms|14991152|1999
10-14|23.7|28.3|25.9|512|III CNS and misc intracranial and intraspinal neoplasms|19742631|1999
15-19|17.8|21.8|19.7|386|III CNS and misc intracranial and intraspinal neoplasms|19585857|1999
5-9|30.0|35.0|32.5|654|III CNS and misc intracranial and intraspinal neoplasms|20146188|1999
<1|25.6|37.2|31.0|115|III CNS and misc intracranial and intraspinal neoplasms|3708753|1999
1-4|3.6|5.8|4.6|69|III(a) Ependymomas and choroid plexus tumor|14991152|1999
10-14|1.7|3.0|2.3|45|III(a) Ependymomas and choroid plexus tumor|19742631|1999
15-19|1.0|2.2|1.5|30|III(a) Ependymomas and choroid plexus tumor|19585857|1999
5-9|1.6|3.0|2.2|45|III(a) Ependymomas and choroid plexus tumor|20146188|1999
<1|2.7|7.3|4.6|17|III(a) Ependymomas and choroid plexus tumor|3708753|1999
1-4|13.8|17.9|15.7|236|III(b) Astrocytomas|14991152|1999
10-14|12.3|15.7|13.9|275|III(b) Astrocytomas|19742631|1999
15-19|9.7|12.8|11.2|219|III(b) Astrocytomas|19585857|1999
5-9|12.7|16.0|14.3|288|III(b) Astrocytomas|20146188|1999
<1|9.3|16.9|12.7|47|III(b) Astrocytomas|3708753|1999
1-4|8.7|12.0|10.3|154|III(c) Intracranial and intraspinal embryonal tumors|14991152|1999
10-14|4.6|6.7|5.6|110|III(c) Intracranial and intraspinal embryonal tumors|19742631|1999
15-19|2.3|3.9|3.0|59|III(c) Intracranial and intraspinal embryonal tumors|19585857|1999
5-9|7.1|9.7|8.3|168|III(c) Intracranial and intraspinal embryonal tumors|20146188|1999
<1|5.0|10.9|7.5|28|III(c) Intracranial and intraspinal embryonal tumors|3708753|1999
