AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
142.3|148.5|145.4|8498|All ICCC Groups Combined|58588724|0-14|All Races|Male and Female|1999|||
43.5|47.0|45.3|2648|I Leukemias, myeloproliferative & myelodysplastic diseases|58588724|0-14|All Races|Male and Female|1999|||
34.0|37.1|35.5|2079|I(a) Lymphoid leukemias|58588724|0-14|All Races|Male and Female|1999|||
6.8|8.3|7.5|440|I(b) Acute myeloid leukemias|58588724|0-14|All Races|Male and Female|1999|||
0.4|0.9|0.6|36|I(c) Chronic myeloproliferative diseases|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|58588724|0-14|All Races|Male and Female|1999|||
1.1|1.7|1.4|82|I(e) Unspecified and other specified leukemias|58588724|0-14|All Races|Male and Female|1999|||
14.3|16.3|15.3|896|II Lymphomas and reticuloendothelial neoplasms|58588724|0-14|All Races|Male and Female|1999|||
4.9|6.1|5.5|320|II(a) Hodgkin lymphomas|58588724|0-14|All Races|Male and Female|1999|||
5.4|6.6|6.0|349|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|58588724|0-14|All Races|Male and Female|1999|||
2.1|3.0|2.5|148|II(c) Burkitt lymphoma|58588724|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|51|II(d) Miscellaneous lymphoreticular neoplasms|58588724|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|28|II(e) Unspecified lymphomas|58588724|0-14|All Races|Male and Female|1999|||
30.2|33.1|31.7|1856|III CNS and misc intracranial and intraspinal neoplasms|58588724|0-14|All Races|Male and Female|1999|||
2.6|3.5|3.0|176|III(a) Ependymomas and choroid plexus tumor|58588724|0-14|All Races|Male and Female|1999|||
13.5|15.5|14.5|847|III(b) Astrocytomas|58588724|0-14|All Races|Male and Female|1999|||
7.1|8.6|7.8|460|III(c) Intracranial and intraspinal embryonal tumors|58588724|0-14|All Races|Male and Female|1999|||
4.6|5.8|5.1|302|III(d) Other gliomas|58588724|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|30|III(e) Other specified intracranial & intraspinal neoplasms|58588724|0-14|All Races|Male and Female|1999|||
0.5|1.0|0.7|41|III(f) Unspecified intracranial and intraspinal neoplasms|58588724|0-14|All Races|Male and Female|1999|||
9.8|11.5|10.6|617|IV Neuroblastoma and other peripheral nervous cell tumors|58588724|0-14|All Races|Male and Female|1999|||
9.6|11.3|10.4|607|IV(a) Neuroblastoma and ganglioneuroblastoma|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|58588724|0-14|All Races|Male and Female|1999|||
8.7|10.3|9.5|553|IX Soft tissue and other extraosseous sarcomas|58588724|0-14|All Races|Male and Female|1999|||
4.4|5.5|4.9|288|IX(a) Rhabdomyosarcomas|58588724|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|55|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|IX(c) Kaposi sarcoma|58588724|0-14|All Races|Male and Female|1999|||
2.3|3.1|2.7|156|IX(d) Other specified soft tissue sarcomas|58588724|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|53|IX(e) Unspecified soft tissue sarcomas|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.4|0.3|16|Not classified by ICCC|58588724|0-14|All Races|Male and Female|1999|||
3.7|4.8|4.2|245|V Retinoblastoma|58588724|0-14|All Races|Male and Female|1999|||
7.3|8.8|8.0|467|VI Renal tumors|58588724|0-14|All Races|Male and Female|1999|||
6.9|8.3|7.6|442|VI(a) Nephroblastoma and other nonepithelial renal tumors|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|22|VI(b) Renal carcinomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|58588724|0-14|All Races|Male and Female|1999|||
1.8|2.5|2.1|123|VII Hepatic tumors|58588724|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.7|101|VII(a) Hepatoblastoma|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|22|VII(b) Hepatic carcinomas|58588724|0-14|All Races|Male and Female|1999|||
