CancerType,Sex,Race,5-yearRelativeSurvival%,lci,uci
'All Cancer Sites Combined','Male and Female','All Races','66.3','66.3','66.3'
'Brain and Other Nervous System','Male and Female','All Races','32.7','32.5','32.9'
'Colon and Rectum','Male and Female','All Races','63.8','63.7','63.8'
'Esophagus','Male and Female','All Races','19.1','18.9','19.3'
'Hodgkin Lymphoma','Male and Female','All Races','83.8','83.6','84.1'
'Kidney and Renal Pelvis','Male and Female','All Races','72.2','72.1','72.3'
'Larynx','Male and Female','All Races','59.1','58.9','59.4'
'Leukemias','Male and Female','All Races','56.2','56.1','56.4'
'Liver and Intrahepatic Bile Duct','Male and Female','All Races','18.1','17.9','18.3'
'Lung and Bronchus','Male and Female','All Races','19.6','19.5','19.6'
'Melanomas of the Skin','Male and Female','All Races','89.8','89.7','89.9'
'Myeloma','Male and Female','All Races','47.7','47.5','48'
'Non-Hodgkin Lymphoma','Male and Female','All Races','68.8','68.7','69'
'Oral Cavity and Pharynx','Male and Female','All Races','61.2','61.1','61.4'
'Pancreas','Male and Female','All Races','9.5','9.4','9.6'
'Stomach','Male and Female','All Races','30.5','30.3','30.7'
'Thyroid','Male and Female','All Races','97','96.9','97'
'Urinary Bladder','Male and Female','All Races','75.4','75.3','75.5'
'Cervix','Female','All Races','67.5','67.3','67.8'
'Corpus and Uterus NOS','Female','All Races','80.7','80.6','80.9'
'Female Breast','Female','All Races','89.1','89','89.1'
'Ovary','Female','All Races','46.9','46.7','47.1'
'Prostate','Male','All Races','97.5','97.5','97.6'
'Testis','Male','All Races','95.3','95.2','95.5'
