"GEO_ID","NAME","C03002_001E","C03002_001M","C03002_002E","C03002_002M","C03002_003E","C03002_003M","C03002_004E","C03002_004M","C03002_005E","C03002_005M","C03002_006E","C03002_006M","C03002_007E","C03002_007M","C03002_008E","C03002_008M","C03002_009E","C03002_009M","C03002_010E","C03002_010M","C03002_011E","C03002_011M","C03002_012E","C03002_012M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"1600000US0203000","Anchorage municipality, Alaska","291538","*****","264431","*****","166481","547","16163","1248","20306","2440","27668","2132","6080","1103","583","563","27150","3297","499","667","26651","3292","27107","*****"
"1600000US0667000","San Francisco city, California","883305","*****","748641","*****","353507","979","43953","1872","1187","687","301051","4782","2085","1214","3259","1334","43599","5543","1667","866","41932","5420","134664","*****"
"1600000US0809280","Broomfield city, Colorado","69267","*****","60537","*****","52849","314","1103","243","96","125","4951","564","0","204","40","72","1498","773","263","408","1235","569","8730","*****"
"1600000US0820000","Denver city, Colorado","716492","*****","503930","*****","388778","901","60726","2736","3508","927","26332","1797","1109","267","1604","891","21873","3245","1139","741","20734","3156","212562","*****"
"1600000US1150000","Washington city, District of Columbia","702455","*****","623206","*****","259371","567","311654","2571","1281","393","26959","1262","336","118","3502","2061","20103","2422","1424","810","18679","2238","79249","*****"
"1600000US1319000","Columbus city, Georgia","194160","*****","179273","*****","77701","93","90065","1866","107","130","4211","904","224","326","250","247","6715","2059","251","244","6464","2002","14887","*****"
"1600000US1349008","Macon-Bibb County, Georgia","153095","*****","147879","*****","57722","325","81693","2323","0","226","3234","338","144","230","730","874","4356","2213","357","424","3999","2197","5216","*****"
"1600000US2146027","Lexington-Fayette urban county, Kentucky","323780","*****","299752","*****","228662","568","46981","1727","77","144","12495","1105","0","197","876","603","10661","2085","820","579","9841","1892","24028","*****"
"1600000US2255000","New Orleans city, Louisiana","391006","*****","369044","*****","119239","422","229793","1512","516","262","10854","790","0","217","2433","1029","6209","1384","109","117","6100","1361","21962","*****"
