"GEO_ID","id",
"NAME","Geographic Area Name",
"C03002_001E","Estimate!!Total",
"C03002_001M","Margin of Error!!Total",
"C03002_002E","Estimate!!Total!!Not Hispanic or Latino",
"C03002_002M","Margin of Error!!Total!!Not Hispanic or Latino",
"C03002_003E","Estimate!!Total!!Not Hispanic or Latino!!White alone",
"C03002_003M","Margin of Error!!Total!!Not Hispanic or Latino!!White alone",
"C03002_004E","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone",
"C03002_004M","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone",
"C03002_005E","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone",
"C03002_005M","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone",
"C03002_006E","Estimate!!Total!!Not Hispanic or Latino!!Asian alone",
"C03002_006M","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone",
"C03002_007E","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone",
"C03002_007M","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone",
"C03002_008E","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone",
"C03002_008M","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone",
"C03002_009E","Estimate!!Total!!Not Hispanic or Latino!!Two or more races",
"C03002_009M","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races",
"C03002_010E","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race",
"C03002_010M","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race",
"C03002_011E","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"C03002_011M","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"C03002_012E","Estimate!!Total!!Hispanic or Latino",
"C03002_012M","Margin of Error!!Total!!Hispanic or Latino",
